NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,
30051,3051,"Montgomery County, Maryland",Inactive,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,PT,Bus,,"3,596,285 ","3,804,320 ","4,033,593 ","4,094,259 ","3,621,534 ","587,249 ",,,,,,,,,,,,,,,,,,,
30054,3054,Centre Area Transportation Authority,Inactive,Full Reporter,84493,"State College, PA",DR,DO,Bus,,,,,,,,,,,,,,,,,,,,"14,592 ",,,,,,
30054,3054,Centre Area Transportation Authority,Active,Full Reporter,84493,"State College, PA",DR,PT,Bus,"37,436 ","36,958 ","37,668 ","38,617 ","35,016 ","36,501 ","36,964 ","35,901 ","33,712 ","34,392 ","25,254 ","36,255 ","34,953 ","31,015 ","32,710 ","34,174 ","31,342 ","29,970 ","17,763 ","41,003 ","78,618 ","108,548 ","80,633 ","52,388 ","15,218 ",
30054,3054,Centre Area Transportation Authority,Inactive,Full Reporter,84493,"State College, PA",DR,TX,Bus,,,,,,,,,,,"9,130 ",,,,,,,,,,,,,,,
30054,3054,Centre Area Transportation Authority,Active,Full Reporter,84493,"State College, PA",MB,DO,Bus,"6,160,763 ","6,107,958 ","6,069,603 ","6,018,462 ","6,130,799 ","6,231,628 ","6,771,004 ","6,970,690 ","6,972,890 ","7,075,599 ","6,997,392 ","7,263,391 ","7,308,447 ","7,171,366 ","7,007,786 ","6,625,509 ","6,508,742 ","6,453,552 ","1,963,168 ","2,125,161 ","3,931,006 ","4,853,259 ","4,974,754 ","4,671,226 ","1,381,275 ",
30054,3054,Centre Area Transportation Authority,Inactive,Full Reporter,84493,"State College, PA",VP,DO,Bus,,,,,,"6,764 ","51,008 ","64,623 ","66,242 ","90,703 ","131,600 ","176,182 ","233,092 ","227,664 ","186,546 ","161,036 ","164,578 ","151,732 ","76,325 ","45,510 ","47,832 ",,,,,
30054,3054,Centre Area Transportation Authority,Active,Full Reporter,84493,"State College, PA",VP,PT,Bus,,,,,,,,,,,,,,,,,,,,,,"50,273 ","45,655 ","49,622 ","9,785 ",
30055,3055,Mercer County Regional Council of Governments,Active,Small Systems Reporter,00042,Pennsylvania Non-UZA,DR,DO,Bus,,,,"90,255 ","87,007 ","91,961 ","92,398 ","97,758 ","98,790 ","107,024 ","93,754 ","92,333 ","89,986 ","88,900 ","43,477 ",,,,,,,,,,,
30055,3055,Mercer County Regional Council of Governments,Active,Small Systems Reporter,00042,Pennsylvania Non-UZA,MB,DO,Bus,,,,"117,705 ","106,410 ","99,108 ","100,436 ","86,011 ","86,599 ","92,354 ","99,524 ","107,669 ","102,060 ","83,772 ","40,775 ",,,,,,,,,,,
30057,3057,Pennsylvania Department of Transportation,Active,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD",CR,PT,Rail,0 ,"228,435 ","243,629 ","260,000 ","308,909 ","436,622 ","513,970 ","513,043 ","545,033 ","566,759 ","598,981 ","836,023 ","1,338,826 ","1,374,925 ","1,492,160 ","1,509,088 ","1,533,055 ","1,188,276 ","228,919 ","265,787 ","452,034 ","587,778 ","647,138 ","697,003 ","161,791 ",
30058,3058,City of Fairfax,Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,DO,Bus,,"919,463 ","888,400 ","1,002,125 ","1,053,932 ","1,064,754 ","1,080,417 ","951,903 ","912,122 ","894,193 ","879,381 ","850,044 ","807,003 ","716,798 ","658,488 ","630,694 ","595,152 ","601,303 ","341,471 ","413,415 ","695,318 ","945,896 ","994,620 ","967,918 ","182,562 ",
30061,3061,Mid Mon Valley Transit Authority,Inactive,Full Reporter,69697,"Pittsburgh, PA",DR,PT,Bus,0 ,91 ,59 ,15 ,4 ,98 ,127 ,207 ,473 ,763 ,795 ,"1,518 ",922 ,707 ,757 ,667 ,284 ,,,,,,,,,
30061,3061,Mid Mon Valley Transit Authority,Active,Full Reporter,69697,"Pittsburgh, PA",MB,PT,Bus,"1,728 ","406,825 ","376,225 ","341,898 ","343,400 ","339,952 ","372,022 ","406,430 ","367,871 ","333,741 ","347,473 ","335,160 ","340,173 ","309,579 ","304,701 ","289,375 ","287,945 ","276,704 ","173,930 ","173,111 ","200,947 ","205,849 ","196,711 ","197,842 ","48,990 ",
30067,3067,Access Transportation Systems,Inactive,Full Reporter,69697,"Pittsburgh, PA",DR,PT,Bus,"1,909,604 ","1,841,557 ","1,823,125 ","1,745,895 ","1,742,703 ","1,694,948 ",,,,,,,,,,,,,,,,,,,,
30068,3068,"Fairfax County, VA",Inactive,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,DO,Bus,"7,220,089 ","7,849,001 ",,,,,,,,,,,,,,,,,,,,,,,,
30068,3068,"Fairfax County, VA",Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,PT,Bus,,,"8,192,061 ","8,927,012 ","9,440,767 ","9,523,234 ","10,013,623 ","9,285,837 ","10,011,777 ","10,501,759 ","10,848,191 ","10,772,921 ","10,351,395 ","9,350,899 ","8,662,564 ","8,463,046 ","8,287,243 ","8,298,785 ","5,015,096 ","5,824,571 ","7,650,870 ","8,991,595 ","8,842,512 ","9,772,055 ","2,117,579 ",
30069,3069,City of Danville ,Active,Rural Reporter,N/A,N/A,DR,DO,Bus,,"15,189 ","7,924 ","9,625 ","15,280 ","17,635 ","16,855 ","18,157 ","23,233 ","27,579 ","28,635 ","19,503 ",,,,,,,,,,,,,,
30069,3069,City of Danville ,Active,Rural Reporter,N/A,N/A,MB,DO,Bus,,"199,047 ","103,365 ","103,063 ","205,382 ","198,022 ","196,127 ","196,615 ","229,719 ","245,645 ","259,495 ","126,631 ",,,,,,,,,,,,,,
30070,3070,Potomac and Rappahannock Transportation Commission,Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",CB,PT,Bus,,,,,,,,,,,"1,779,880 ","1,785,672 ","1,711,148 ","1,582,592 ","1,547,628 ","1,487,350 ","1,470,555 ","1,512,265 ","503,649 ","449,939 ","760,781 ","752,896 ","990,608 ","1,327,996 ","322,785 ",
30070,3070,Potomac and Rappahannock Transportation Commission,Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",DR,PT,Bus,,,,,,,,,,,,,,,,,,13 ,758 ,"1,956 ","3,222 ","13,163 ","38,235 ","48,849 ","10,718 ",
30070,3070,Potomac and Rappahannock Transportation Commission,Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,PT,Bus,"1,705,008 ","1,855,698 ","1,844,235 ","2,287,866 ","2,584,535 ","2,734,345 ","3,072,204 ","3,143,077 ","3,194,801 ","3,420,152 ","1,565,523 ","1,493,598 ","1,455,580 ","1,324,697 ","1,119,288 ","992,029 ","907,443 ","852,278 ","457,571 ","473,867 ","760,069 ","912,482 ","1,072,768 ","1,174,311 ","273,846 ",
